Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,6.0,6.14,5.76,5.88,37800,5.88,0.0,5.88,5.88
2016-01-05,2016,1,5,Tuesday,01,2016-01,5.95,6.2,5.83,5.9,24100,5.9,0.003401357234227742,5.890000000000001,5.890000000000001
2016-01-06,2016,1,6,Wednesday,01,2016-01,5.82,5.91,5.65,5.69,15500,5.69,-0.03559322622924377,5.823333333333333,5.823333333333333
2016-01-07,2016,1,7,Thursday,01,2016-01,5.62,5.7,5.43,5.5,21800,5.5,-0.03339192536199609,5.7425,5.7425
2016-01-08,2016,1,8,Friday,01,2016-01,5.53,5.59,5.4,5.44,7200,5.44,-0.010909080505371094,5.682,5.682
2016-01-11,2016,1,11,Monday,02,2016-02,5.4,5.55,5.11,5.37,34600,5.37,-0.012867678478875488,5.63,5.63
2016-01-12,2016,1,12,Tuesday,02,2016-02,5.54,5.6,5.21,5.26,237800,5.26,-0.020484107825226472,5.577142857142857,5.577142857142857
2016-01-13,2016,1,13,Wednesday,02,2016-02,5.39,5.47,4.9,5.0,241100,5.0,-0.049429699157466866,5.505,5.505
2016-01-14,2016,1,14,Thursday,02,2016-02,4.93,5.42,4.74,5.14,47300,5.14,0.02799997329711923,5.464444444444444,5.464444444444444
2016-01-15,2016,1,15,Friday,02,2016-02,4.94,5.26,4.81,4.88,38000,4.88,-0.05058361066115147,5.406000000000001,5.406000000000001
2016-01-19,2016,1,19,Tuesday,03,2016-03,5.09,5.09,4.48,4.63,11300,4.63,-0.05122950699533779,5.335454545454545,5.335454545454545
2016-01-20,2016,1,20,Wednesday,03,2016-03,4.63,4.85,4.38,4.71,26800,4.71,0.017278600805329614,5.283333333333333,5.283333333333333
2016-01-21,2016,1,21,Thursday,03,2016-03,4.65,4.94,4.65,4.93,5800,4.93,0.04670908458807643,5.256153846153846,5.256153846153846
2016-01-22,2016,1,22,Friday,03,2016-03,4.97,5.5,4.97,5.28,26900,5.28,0.0709939946565219,5.257857142857143,5.257857142857143
2016-01-25,2016,1,25,Monday,04,2016-04,5.3,5.94,5.14,5.34,38100,5.34,0.011363625074878314,5.219285714285715,5.263333333333334
2016-01-26,2016,1,26,Tuesday,04,2016-04,5.3,5.72,5.09,5.36,20900,5.36,0.003745314673225364,5.180714285714286,5.269375
2016-01-27,2016,1,27,Wednesday,04,2016-04,5.39,5.61,5.21,5.3,11300,5.3,-0.012126876045027268,5.152857142857143,5.271176470588236
2016-01-28,2016,1,28,Thursday,04,2016-04,5.38,5.65,5.0,5.43,25800,5.43,0.026440012175332095,5.147857142857143,5.28
2016-01-29,2016,1,29,Friday,04,2016-04,5.39,5.8,5.18,5.2,45900,5.2,-0.04323829549006797,5.130714285714285,5.275789473684211
2016-02-01,2016,2,1,Monday,05,2016-05,5.15,5.55,5.1,5.52,17900,5.52,0.06153849680748347,5.1414285714285715,5.288
2016-02-02,2016,2,2,Tuesday,05,2016-05,5.57,5.92,5.41,5.65,28000,5.65,0.02355074545110747,5.169285714285714,5.305238095238095
2016-02-03,2016,2,3,Wednesday,05,2016-05,5.72,5.74,5.22,5.43,16400,5.43,-0.03893809970183748,5.2,5.3109090909090915
2016-02-04,2016,2,4,Thursday,05,2016-05,5.36,5.77,5.31,5.43,12700,5.43,0.0,5.220714285714285,5.316086956521739
2016-02-05,2016,2,5,Friday,05,2016-05,5.46,5.46,5.23,5.35,9700,5.35,-0.014732951424518137,5.2542857142857144,5.3175
2016-02-08,2016,2,8,Monday,06,2016-06,5.29,5.3,5.0,5.26,9500,5.26,-0.016822369599072684,5.299285714285714,5.3152
2016-02-09,2016,2,9,Tuesday,06,2016-06,5.09,5.1,4.63,4.71,77300,4.71,-0.10456276935405795,5.299285714285714,5.291923076923077
2016-02-10,2016,2,10,Wednesday,06,2016-06,4.76,5.06,4.68,4.75,9500,4.75,0.008492560834195695,5.286428571428572,5.271851851851852
2016-02-11,2016,2,11,Thursday,06,2016-06,4.54,4.71,4.43,4.6,8100,4.6,-0.03157896744577504,5.237857142857143,5.247857142857143
2016-02-12,2016,2,12,Friday,06,2016-06,4.65,5.08,4.65,4.68,11100,4.68,0.01739128812274293,5.190714285714286,5.2282758620689656
2016-02-16,2016,2,16,Tuesday,07,2016-07,4.73,5.06,4.73,4.86,10400,4.86,0.038461605080801986,5.155,5.215999999999999
2016-02-17,2016,2,17,Wednesday,07,2016-07,5.02,5.06,4.85,4.99,4700,4.99,0.026748895891439695,5.132857142857143,5.208709677419355
2016-02-18,2016,2,18,Thursday,07,2016-07,4.99,5.26,4.82,5.18,7600,5.18,0.038076165518116545,5.114999999999999,5.2078125
2016-02-19,2016,2,19,Friday,07,2016-07,5.2,5.24,4.82,5.12,14300,5.12,-0.011583000920443065,5.109285714285714,5.205151515151515
2016-02-22,2016,2,22,Monday,08,2016-08,5.43,5.45,4.63,5.0,31700,5.0,-0.023437478172126713,5.072142857142857,5.199117647058824
2016-02-23,2016,2,23,Tuesday,08,2016-08,5.24,5.24,4.84,4.9,17800,4.9,-0.019999980926513672,5.018571428571429,5.190571428571428
2016-02-24,2016,2,24,Wednesday,08,2016-08,5.13,5.13,4.84,5.0,15700,5.0,0.020408143405366452,4.987857142857143,5.185277777777777
2016-02-25,2016,2,25,Thursday,08,2016-08,4.73,5.14,4.73,5.0,8300,5.0,0.0,4.957142857142857,5.18027027027027
2016-02-26,2016,2,26,Friday,08,2016-08,5.1,5.1,4.82,5.0,13900,5.0,0.0,4.932142857142857,5.175526315789473
2016-02-29,2016,2,29,Monday,09,2016-09,5.08,5.15,4.87,4.87,12900,4.87,-0.026000022888183594,4.904285714285714,5.167692307692308
2016-03-01,2016,3,1,Tuesday,09,2016-09,5.02,5.25,4.97,5.0,13300,5.0,0.026694069300988055,4.925,5.1635
2016-03-02,2016,3,2,Wednesday,09,2016-09,5.2,5.2,5.02,5.17,10800,5.17,0.03400001525878915,4.955,5.163658536585366
2016-03-03,2016,3,3,Thursday,09,2016-09,5.3,5.35,5.18,5.23,20100,5.23,0.011605404621686466,5.0,5.165238095238095
2016-03-04,2016,3,4,Friday,09,2016-09,5.34,5.35,4.97,5.13,29400,5.13,-0.01912044058659179,5.0321428571428575,5.164418604651162
2016-03-07,2016,3,7,Monday,10,2016-10,5.06,5.35,5.06,5.28,13900,5.28,0.02923978401972782,5.062142857142858,5.1670454545454545
2016-03-08,2016,3,8,Tuesday,10,2016-10,5.35,5.35,5.16,5.29,20200,5.29,0.0018938923574476352,5.083571428571427,5.169777777777777
2016-03-09,2016,3,9,Wednesday,10,2016-10,5.5,5.64,5.35,5.41,22600,5.41,0.022684288549039477,5.1000000000000005,5.175
2016-03-10,2016,3,10,Thursday,10,2016-10,5.45,5.6,5.35,5.57,15100,5.57,0.029574922137161286,5.132142857142857,5.183404255319149
