Credit Card,Category,Amount,Buyer,Validation,,cardkey,categorykey
1,1,16.53,0,0,,1 = amex,1 = grocery
1,2,33.01,0,0,,2 = store,2 = gas & car maintenance
1,3,22.62,1,0,,3 = visa,3 = dining
1,1,16.04,1,0,,4 = master,4 = misc
1,4,4.99,0,0,,5 = discover,5 = health
1,1,66.39,0,0,,,6 = education
1,1,16.65,1,0,,,7 = travel
1,2,42.02,0,0,,,8 = home improvement & furnishings
1,2,28.85,1,0,,,"9 - cell phones, cable & utilities"
1,1,157.12,0,0,,,10 = books
1,1,170.03,0,0,,,11 = clothing
1,1,45.48,0,0,,,
1,2,38.91,0,0,,,
1,1,33.95,1,0,,,
1,5,18.14,1,0,,,
1,1,3.78,1,0,,,
1,2,32.75,0,0,,,
1,2,34.75,1,0,,,
1,1,20.6,1,0,,,
1,1,50.88,0,0,,,
1,4,5.3,0,0,,,
1,1,86.99,0,0,,,
1,1,57.21,0,0,,,
1,1,42.35,0,0,,,
1,1,42.8,0,0,,,
1,2,39.22,0,0,,,
1,1,38.15,1,0,,,
1,1,9.07,1,0,,,
1,1,15.17,1,0,,,
1,1,255.77,0,0,,,
1,1,34.65,0,0,,,
1,1,25,1,0,,,
1,1,143.65,0,0,,,
1,1,293.26,0,0,,,
1,1,1.49,1,0,,,
1,1,69.68,1,0,,,
1,2,45.58,0,0,,,
1,2,38.6,1,1,,,
1,1,12.16,1,1,,,
1,4,6.36,0,1,,,
1,2,45.31,0,1,,,
1,1,165.19,0,1,,,
1,1,133.68,0,1,,,
1,1,49.85,1,1,,,
1,2,36.6,1,1,,,
1,1,10.45,1,1,,,
1,1,49.67,0,1,,,
1,1,57.95,1,1,,,
1,2,25.09,1,1,,,
1,1,16.84,1,1,,,
1,6,4.27,0,1,,,
1,1,173.12,0,1,,,
1,1,30.84,0,1,,,
1,2,26.92,1,1,,,
1,1,92.49,0,1,,,
1,7,665.2,1,0,,,
1,7,4.8,1,1,,,
2,11,30.1,0,0,,,
2,11,21.44,0,0,,,
2,11,47.7,0,1,,,
3,4,32.11,1,0,,,
3,1,262.2,1,0,,,
3,8,50.52,1,0,,,
3,8,48.13,1,0,,,
3,8,176.63,0,0,,,
3,8,20.11,1,0,,,
3,8,50.75,1,0,,,
3,8,13.41,1,0,,,
3,8,-33.99,0,0,,,
3,8,212.43,0,0,,,
3,8,1.93,1,0,,,
3,8,3.94,1,0,,,
3,9,167.34,1,0,,,
3,2,36.9,0,0,,,
3,9,167.34,1,0,,,
3,5,20.97,0,1,,,
3,4,60,1,1,,,
3,2,38,0,1,,,
3,1,55.27,0,1,,,
3,2,23.38,1,1,,,
3,9,167.34,1,1,,,
4,3,19.32,1,0,,,
4,5,139.23,0,0,,,
4,3,8,0,0,,,
4,10,50.29,0,0,,,
4,11,132.91,0,0,,,
4,4,9,0,0,,,
4,3,27.02,0,0,,,
4,10,3.62,0,0,,,
4,3,28.9,0,0,,,
4,8,234.27,0,0,,,
4,3,68.44,1,0,,,
4,4,8.92,0,0,,,
4,3,31.95,1,0,,,
4,8,163.48,1,0,,,
4,8,-13.6,1,0,,,
4,3,40,1,0,,,
4,9,144.22,1,0,,,
4,3,17.05,1,0,,,
4,3,21.64,0,0,,,
4,3,13.94,0,0,,,
4,4,39.5,0,0,,,
4,11,34.32,0,0,,,
4,3,26.53,1,0,,,
4,3,26.75,1,0,,,
4,5,100,0,0,,,
4,3,26.03,1,0,,,
4,8,318.16,1,0,,,
4,9,70.2,0,0,,,
4,3,16,0,0,,,
4,5,150,0,0,,,
4,4,49.99,0,0,,,
4,3,44,1,0,,,
